country,year,co2,coal_co2,cement_co2,gas_co2,oil_co2,methane,population,gdp,primary_energy_consumption
Afghanistan,1991,2.427,0.249,0.046,0.388,1.718,9.07,13299016.0,12047361708.8,13.651
Afghanistan,1992,1.379,0.022,0.046,0.363,0.927,9.0,14485543.0,12677538631.9,8.961
Afghanistan,1993,1.333,0.018,0.047,0.352,0.894,8.9,15816601.0,9834581108.1,8.935
Afghanistan,1994,1.282,0.015,0.047,0.338,0.86,8.97,17075728.0,7919857155.6,8.617
Afghanistan,1995,1.23,0.015,0.047,0.322,0.824,9.15,18110662.0,12307526078.0,7.246
Afghanistan,1996,1.165,0.007,0.047,0.308,0.78,9.93,18853444.0,12070125458.3,7.119
Afghanistan,1997,1.084,0.004,0.047,0.283,0.728,10.6,19357126.0,11850751938.9,6.799
Afghanistan,1998,1.029,0.004,0.047,0.265,0.691,11.1,19737770.0,11692172337.6,6.618
Afghanistan,1999,0.81,0.004,0.047,0.242,0.495,11.87,20170847.0,11517317327.4,6.612
Afghanistan,2000,0.758,0.004,0.01,0.224,0.498,10.59,20779957.0,11283793214.7,5.777
Afghanistan,2001,0.798,0.07,0.007,0.209,0.491,9.36,21606992.0,11021272774.0,4.481
Afghanistan,2002,1.052,0.055,0.011,0.546,0.44,11.21,22600774.0,18804871760.0,4.262
Afghanistan,2003,1.186,0.092,0.01,0.465,0.619,11.56,23680871.0,21074344026.0,5.041
Afghanistan,2004,0.889,0.092,0.01,0.227,0.561,11.47,24726689.0,22332571931.4,4.669
Afghanistan,2005,1.303,0.106,0.006,0.33,0.861,11.68,25654274.0,25397687313.5,6.009
Afghanistan,2006,1.635,0.161,0.012,0.329,1.133,14.89,26433058.0,28704401076.4,7.286
Afghanistan,2007,2.269,0.749,0.012,0.308,1.2,18.1,27100542.0,34507529622.9,9.407
Afghanistan,2008,4.2,1.077,0.015,0.297,2.81,22.19,27722281.0,36561042624.4,16.397
Afghanistan,2009,6.74,1.513,0.013,0.271,4.943,25.43,28394806.0,44358719970.4,26.808
Afghanistan,2010,8.398,2.246,0.015,0.271,5.866,30.04,29185511.0,47399424663.6,33.194
Afghanistan,2011,12.106,4.181,0.015,0.308,7.603,39.48,30117411.0,53326336000.0,44.997
Afghanistan,2012,10.219,3.125,0.029,0.308,6.756,48.78,31161378.0,59166900000.0,40.273
Afghanistan,2013,8.441,3.327,0.036,0.297,4.782,58.13,32269592.0,62993700000.0,32.809
Afghanistan,2014,7.774,3.704,0.029,0.271,3.77,67.77,33370803.0,64346106000.0,29.678
Afghanistan,2015,7.904,2.843,0.041,0.282,4.738,76.62,34413603.0,62783392000.0,32.917
Afghanistan,2016,6.745,2.878,0.076,0.319,3.472,78.17,35383028.0,64297428000.0,35.737
Afghanistan,2017,6.86,3.448,0.045,0.3,3.067,78.17,36296111.0,68752802575.638,35.737
Afghanistan,2018,8.345,3.849,0.057,0.293,4.146,78.17,37171922.0,67594970922.535,35.737
Afghanistan,2019,12.147,7.531,0.038,0.306,4.272,78.17,38041757.0,67594970922.535,35.737
Afghanistan,2020,12.16,7.508,0.061,0.314,4.277,78.17,38928341.0,67594970922.535,35.737
Albania,1991,4.228,1.48,0.245,0.275,2.228,3.62,3280397.0,9375844364.236,32.27
Albania,1992,2.495,0.8,0.081,0.198,1.416,3.52,3245887.0,8745680481.701,25.537
Albania,1993,2.316,0.6,0.08,0.157,1.478,3.58,3195196.0,9636359518.257,21.771
Albania,1994,1.913,0.169,0.04,0.099,1.605,4.15,3146518.0,10596127427.374,20.456
Albania,1995,2.066,0.161,0.081,0.051,1.773,4.13,3112923.0,11600734290.136,21.98
Albania,1996,1.993,0.114,0.081,0.044,1.755,3.96,3098699.0,12727381011.308,24.616
Albania,1997,1.532,0.044,0.04,0.037,1.411,3.77,3099747.0,11396508053.551,22.247
Albania,1998,1.744,0.055,0.033,0.033,1.623,3.63,3110699.0,12466707298.451,23.725
Albania,1999,2.975,0.11,0.044,0.029,2.792,3.7,3122700.0,14151858217.512,21.708
Albania,2000,3.004,0.07,0.073,0.022,2.84,3.79,3129246.0,15214264324.586,27.313
Albania,2001,3.221,0.081,0.231,0.015,3.125,3.7,3129701.0,16563844505.227,25.18
Albania,2002,3.748,0.084,0.231,0.026,3.638,3.64,3126183.0,17408065339.599,27.144
Albania,2003,4.232,0.084,0.231,0.026,3.891,3.68,3118017.0,18465496189.759,32.027
Albania,2004,4.104,0.084,0.227,0.033,3.759,3.59,3104893.0,19587881912.733,34.837
Albania,2005,4.199,0.073,0.194,0.022,3.91,3.58,3086810.0,20781075931.876,34.45
Albania,2006,3.844,0.073,0.209,0.022,3.54,3.53,3063021.0,22124285121.453,32.07
Albania,2007,3.829,0.073,0.348,0.033,3.375,3.52,3033993.0,23574646689.248,25.174
Albania,2008,4.272,0.103,0.359,0.015,3.796,3.23,3002683.0,25476937520.758,28.165
Albania,2009,4.254,0.388,0.432,0.018,3.415,3.12,2973044.0,26471389955.577,32.405
Albania,2010,4.448,0.429,0.502,0.026,3.492,3.12,2948029.0,27598267513.893,38.863
Albania,2011,5.031,0.535,0.692,0.029,3.774,3.15,2928601.0,28452650602.4,28.64
Albania,2012,4.668,0.627,0.857,0.029,3.155,3.23,2914091.0,28855377406.592,29.163
Albania,2013,4.928,0.795,0.769,0.033,3.331,3.19,2903788.0,29142643401.06,37.024
Albania,2014,5.621,1.029,0.677,0.059,3.856,3.23,2896307.0,29675640629.168,31.828
Albania,2015,4.496,0.322,0.773,0.062,3.338,3.26,2890524.0,30444532034.928,33.685
Albania,2016,4.492,0.191,0.78,0.161,3.36,3.25,2886427.0,31481821922.886,39.446
Albania,2017,5.302,0.275,0.78,0.168,4.079,3.25,2884169.0,32678760785.572,39.446
Albania,2018,4.734,0.473,0.78,0.15,3.331,3.25,2882735.0,34009113044.898,39.446
Albania,2019,4.863,0.549,0.78,0.155,3.379,3.25,2880913.0,34009113044.898,39.446
Albania,2020,4.535,0.461,0.78,0.153,3.14,3.25,2877800.0,34009113044.898,39.446
Algeria,1991,78.807,2.689,2.969,38.428,26.066,22.19,26400468.0,121105151996.145,312.043
Algeria,1992,79.883,2.378,2.998,31.932,28.678,22.61,27028330.0,127982674302.369,320.191
Algeria,1993,81.944,1.924,2.988,36.098,27.993,22.91,27635517.0,130275763728.978,297.932
Algeria,1994,86.147,2.286,2.821,37.386,30.45,22.97,28213777.0,134279870675.711,301.892
Algeria,1995,94.981,1.935,3.165,47.222,27.081,25.74,28757788.0,145054689192.167,313.11
Algeria,1996,96.786,1.407,3.006,50.567,27.407,28.51,29266415.0,156579104008.579,309.901
Algeria,1997,87.005,1.381,3.271,39.007,30.019,31.24,29742980.0,164644454643.526,297.847
Algeria,1998,106.621,2.11,3.446,54.641,33.09,34.23,30192750.0,179962871355.679,308.311
Algeria,1999,91.668,2.173,3.435,50.92,22.188,37.2,30623406.0,193179806925.144,311.398
Algeria,2000,82.221,1.96,3.789,38.534,26.828,40.16,31042238.0,208554150226.196,299.936
Algeria,2001,83.78,2.096,3.766,41.029,28.458,41.65,31451513.0,223420295817.082,310.801
Algeria,2002,89.407,2.609,4.058,44.653,29.495,43.18,31855110.0,245360882457.672,321.941
Algeria,2003,91.048,2.788,4.032,44.027,31.943,45.03,32264159.0,273568648245.395,336.876
